,id,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
1271,Happy_01,-0.1978836,0.026077747,-0.17640781,0.030679703,0.061359167,-0.69489336,-1.3836505,0.33479786,1.5017673,0.25464082,-0.079809904,0.72403884,1.4710876,0.27855885,1.5861361,-0.24850488,0.013764143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1272,Happy_01,-0.19021368,0.026077747,-0.17640781,0.018407822,0.061359167,-0.69642735,-1.4327381,0.32688928,1.5324469,0.25310683,-0.076741934,0.7194371,1.4204663,0.2601055,1.5569904,-0.25157285,0.013764143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1273,Happy_01,-0.18407774,0.027611732,-0.17487383,0.0046019554,0.06289315,-0.72403884,-1.4833596,0.3084358,1.5661944,0.25464082,-0.07213998,0.73170877,1.3713789,0.23110723,1.5217092,-0.25157285,0.015298128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1274,Happy_01,-0.18100977,0.027611732,-0.17487383,-0.009203911,0.06289315,-0.76545644,-1.5309126,0.28822494,1.598408,0.25310683,-0.06600404,0.75318456,1.3238255,0.20035148,1.4879615,-0.25157285,0.032171965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1275,Happy_01,-0.18100977,0.023009777,-0.17487383,-0.019941807,0.06442714,-0.81147575,-1.5738642,0.26889277,1.6260197,0.25464082,-0.058333874,0.7777283,1.280874,0.16608083,1.4588158,-0.25310683,0.035239935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1276,Happy_01,-0.18100977,0.021475792,-0.17487383,-0.026077747,0.06442714,-0.84215546,-1.601476,0.2548331,1.6413594,0.25310683,-0.05373192,0.79460216,1.2563303,0.14147627,1.440408,-0.25310683,0.035239935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1277,Happy_01,-0.20095158,0.015339851,-0.17333984,-0.03834963,0.06442714,-0.8958447,-1.6444275,0.22934973,1.6674372,0.25464082,-0.041460037,0.8283496,1.2118448,0.10193324,1.4112623,-0.25310683,0.053647995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1278,Happy_01,-0.23469901,0.009203911,-0.17487383,-0.0475533,0.06442714,-0.95260215,-1.6843112,0.20474517,1.6965828,0.25464082,-0.033789873,0.862097,1.1719613,0.0650264,1.3821166,-0.25310683,0.065920115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1279,Happy_01,-0.2669127,0.0030679703,-0.17487383,-0.059825182,0.06442714,-1.0016894,-1.7165244,0.1871705,1.7195925,0.25464082,-0.021517992,0.8881748,1.1428157,0.039543033,1.3575733,-0.25310683,0.078191996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1280,Happy_01,-0.2883885,0.0015339851,-0.17487383,-0.06749511,0.06442714,-1.0354371,-1.7395341,0.17838311,1.7364663,0.25464082,-0.0153820515,0.9065826,1.119806,0.029876947,1.3453014,-0.25157285,0.084327936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
